Car Brand,Car Price,Miles,Trim,Engine,VIN,Transmission,Drivetrain,Exterior Color,Interior Color,Mileage,Stock #,Condition,Body Style,Fuel Type,Gas Mileage,Cabin,Bed,Rear Wheel
2018 Dodge Durango Citadel,"$37,890
est. $546/mo","32,079 Miles
Forest Lake, MN",Citadel,HEMI 5.7L V8 Multi Displacement VVT,1C4SDJET9JC161131,Automatic,AWD,Octane Red Pearlcoat,Black,"32,079",P15805,Used,Suv,,,,,
2020 Chevrolet Trax,"$19,045
est. $275/mo","4 Miles
Bloomington, MN",,,3GNCJPSB0LL267476,Automatic,AWD,Steel Metallic,Jet Black,4,LH20545,New,Suv,,,,,
2020 Jeep Compass Limited,"$23,490
est. $339/mo","29,994 Miles
Forest Lake, MN",Limited,2.4L I4,3C4NJDCB2LT126763,Automatic,4WD,Granite Crystal Metallic Clearcoat,Black,"29,994",PF15881,Used,Suv,,,,,
2019 Kia Rio S,"$11,900
est. $172/mo","37,879 Miles
Burnsville, MN",S,4 Cylinder,3KPA24AB6KE157788,Automatic,FWD,Silky Silver,Black,,41623,Used,,Gasoline,28 city / 37 hwy,,,
2020 Jeep Grand Cherokee Laredo,"$33,889
est. $488/mo","25 Miles
Forest Lake, MN",Laredo,3.6L V6 24V VVT,1C4RJFAG7LC298021,Automatic,4WD,Diamond Black Crystal Pearlcoat,Black,25,J20490,New,Suv,,,,,
2019 Ford Expedition MAX XLT,"$39,990
est. $576/mo","42,442 Miles
Forest Lake, MN",XLT,EcoBoost 3.5L V6 GTDi DOHC 24V Twin Turbocharged,1FMJK1JTXKEA27477,Automatic,4WD,Stone Gray Metallic,Ebony,"42,442",PF15715,Used,Suv,,,,,
2016 GMC Acadia SLE-2,"$23,990
est. $346/mo","33,796 Miles
Monticello, MN",SLE-2,3.6L V6 SIDI,1GKKVPKD0GJ211081,Automatic,AWD,Dark sapphire blue metallic,Ebony,"33,796",30482A,Used,Suv,,,,,
2020 Honda CR-V EX,"$30,280
est. $436/mo","Mileage Unknown
Coon Rapids, MN",EX,,2HKRW2H56LH676655,,AWD,Modern Steel Metallic,Gray,0,LH676655,New,Suv,,,,,
2020 Jeep Renegade Trailhawk,"$23,990
est. $346/mo","3,667 Miles
Forest Lake, MN",Trailhawk,1.3L I4,ZACNJBC13LPL41245,Automatic,4WD,Colorado Red Clearcoat,Black,"3,667",LP15623R,Used,Suv,,,,,
2020 Ford Mustang EcoBoost,"$30,995
est. $447/mo","4,613 Miles
Fridley, MN",EcoBoost,2.3L 4 cyls,1FATP8UH0L5112950,,RWD,Black,,"4,613",13130PA,Used,Convertible,,,,,
2018 Chevrolet Malibu LT,"$14,900
est. $215/mo","38,300 Miles
Burnsville, MN",LT,4 Cylinder,1G1ZD5STXJF275513,Automatic,FWD,Silver Ice Metallic,Jet Black,,41438,Used,,Gasoline,27 city / 36 hwy,,,
2015 GMC Yukon XL Denali,"$35,998
est. $519/mo","95,686 Miles
Brooklyn Park, MN",Denali,6.2L,1GKS2JKJ7FR733282,Automatic,4WD,Black,Black,"95,686",,Used,Suv,Gasoline,,,,
2018 Honda CR-V EX-L,"$26,998
est. $389/mo","25,116 Miles
Minneapolis, MN",EX-L,1.5L,7FARW2H80JE093167,Automatic,AWD,Silver,Black,,19322800,Used,,Gasoline,27 city / 33 hwy,,,
2019 Nissan Sentra S,"$14,599
est. $210/mo","35,002 Miles
Saint Paul, MN",S,1.8L,3N1AB7AP8KY268440,Automatic,FWD,Black,Black,,19388545,Used,,Gasoline,29 city / 37 hwy,,,
2016 Chevrolet Malibu LT,"$17,998
est. $259/mo","13,847 Miles
Minneapolis, MN",LT,1.5L,1G1ZE5ST9GF352703,Automatic,FWD,Gray,Black,,19256309,Used,,Gasoline,27 city / 37 hwy,,,
2020 Mitsubishi Eclipse Cross SE,"$26,275
est. $379/mo","10 Miles
Saint Paul, MN",SE,,JA4AT5AA0LZ036989,Automatic,AWD,Tarmac Black Metallic,BLACK,10,95016,New,Suv,,,,,
2020 Ram Pickup 1500 Big Horn/Lone Star,"$41,380
est. $596/mo","2 Miles
Forest Lake, MN",Big Horn/Lone Star,HEMI 5.7L V8 Multi Displacement VVT eTorque,1C6SRFFT7LN416211,Automatic,4WD,Bright White Clearcoat,Diesel Gray/Black,2,R20735,New,Pickup_truck,,,,,
2017 Nissan Sentra SV,"$13,998
est. $202/mo","31,440 Miles
Minneapolis, MN",SV,1.8L,3N1AB7AP1HY234008,Automatic,FWD,Blue,Gray,,19329977,Used,,Gasoline,29 city / 37 hwy,,,
2010 Mercedes-Benz E-Class E 350 Luxury,"$11,000
est. $159/mo","110,365 Miles
South Saint Paul, MN",E 350 Luxury,,WDDHF8HB3AA063259,Automatic,AWD,Capri Blue Metallic,Black,"110,365",Z12178A,Used,Sedan,,,,,
2019 Toyota Camry LE,"$17,450
est. $252/mo","43,023 Miles
Burnsville, MN",LE,4 Cylinder,4T1B11HK9KU229933,Automatic,FWD,White,Black,,41558,Used,,Gasoline,28 city / 39 hwy,,,
2020 Ram Pickup 1500 Laramie,"$45,804
est. $660/mo","2 Miles
Forest Lake, MN",Laramie,HEMI 5.7L V8 Multi Displacement VVT eTorque,1C6SRFRT0LN416241,Automatic,4WD,Maximum Steel Metallic Clearcoat,Black,2,R20747,New,Pickup_truck,,,,,
2020 Ford Explorer Limited,"$47,697
est. $688/mo","5 Miles
Roseville, MN",Limited,I-4 2.3L EcoBoost,1FMSK8FH3LGC81202,Automatic,AWD,Star White,Ebony,5,202152,New,Suv,,,,,
2020 Chevrolet Impala LT,"$23,138
est. $334/mo","7,617 Miles
Burnsville, MN",LT,6 Cylinder,1G11Z5S32LU113131,Automatic,FWD,Black,Jet Black,,41492,Used,,Flex fuel,19 city / 28 hwy,,,
2020 Ford Fusion SE,"$21,499
est. $310/mo","561 Miles
Apple Valley, MN",SE,EcoBoost 2.0L I4 GTDi DOHC Turbocharged VCT,3FA6P0T99LR199155,Automatic,AWD,Iconic Silver MET,Ebony,561,R81851,New,Sedan,,,,,
2020 Jeep Cherokee Limited,"$29,911
est. $431/mo","2 Miles
Forest Lake, MN",Limited,2.0L I4 DOHC,1C4PJMDNXLD544866,Automatic,4WD,Granite Crystal Metallic Clearcoat,Black,2,J20153,New,Suv,,,,,
2020 Mitsubishi Outlander PHEV SEL,"$33,100
est. $477/mo","11 Miles
Saint Paul, MN",SEL,,JA4J24A5XLZ041763,Automatic,AWD,Pearl White,BLACK,11,95985,New,Suv,,,,,
2020 Ram Pickup 1500 Big Horn/Lone Star,"$41,558
est. $599/mo","2 Miles
Forest Lake, MN",Big Horn/Lone Star,HEMI 5.7L V8 Multi Displacement VVT eTorque,1C6SRFFTXLN395581,Automatic,4WD,Billet Silver Metallic Clearcoat,Diesel Gray/Black,2,R20744,New,Pickup_truck,,,,,
2020 Volvo XC90 Momentum,"$48,500
est. $699/mo","8,450 Miles
Minnetonka, MN",Momentum,,YV4A22PK3L1550144,Automatic,,Thunder Gray Metallic,Charcoal,"8,450",5123,Used,Suv,,,,,
2018 Chevrolet Colorado Z71,"$30,495
est. $440/mo","41,861 Miles
Fridley, MN",Z71,3.6L V6,1GCGTDEN7J1127857,Automatic,4WD,Black,Jet Black,"41,861",53257A,Certified pre-owned,Pickup_truck,,,,,
2018 Hyundai Accent SE,"$11,449
est. $165/mo","36,653 Miles
Burnsville, MN",SE,4 Cylinder,3KPC24A33JE005600,Automatic,FWD,Pomegranate Red,Black,,41483,Used,,Gasoline,28 city / 38 hwy,,,
2017 Ford Mustang EcoBoost,"$23,998
est. $346/mo","17,841 Miles
Saint Paul, MN",EcoBoost,2.3L,1FA6P8TH1H5286869,Automatic,RWD,Red,Black,"17,841",,Used,Coupe,Gasoline,,,,
2020 Ford Fusion Hybrid SE,Accepting Offers,"2 Miles
Inver Grove Heights, MN",SE,,3FA6P0LU9LR148808,Automatic,FWD,Magnetic Metallic,,2,2048808,New,Sedan,,,,,
2019 Mitsubishi Outlander PHEV GT,"$29,999
est. $432/mo","11 Miles
Saint Paul, MN",GT,,JA4J24A50KZ055055,Automatic,AWD,Pearl White,BLACK,11,95834,New,Suv,,,,,
2020 Nissan Pathfinder SV,"$27,199
est. $392/mo","6,076 Miles
Burnsville, MN",SV,6 Cylinder,5N1DR2BM3LC602795,Automatic,4WD,Gun Metallic,Charcoal,,41514,Used,,Gasoline,20 city / 27 hwy,,,
2017 Chevrolet Silverado 1500 LT w/1LT,"$30,995
est. $447/mo","84,330 Miles
Fridley, MN",LT w/1LT,5.3L V8,3GCUKREC8HG279773,Automatic,4WD,Black,Jet Black w/Leather Appointed Seat Trim,"84,330",53251A,Used,Pickup_truck,,,,,
2020 Ford Escape SEL,"$26,750
est. $386/mo","2,967 Miles
Shakopee, MN",SEL,1.5L EcoBoost,1FMCU9H62LUB09597,Automatic,AWD,Agate Black Metallic,Ebony Black,"2,967",S11470X,Certified pre-owned,Suv,,,,,
2020 Mitsubishi Outlander SE,"$25,625
est. $369/mo","11 Miles
Saint Paul, MN",SE,,JA4AZ3A33LZ039924,Automatic,,Mercury Gray Metallic,BLACK,11,95657,New,Suv,,,,,
2017 Chevrolet Malibu LT,"$16,998
est. $245/mo","22,493 Miles
Minneapolis, MN",LT,1.5L,1G1ZE5ST1HF221329,Automatic,FWD,Gray,Black,,19257267,Used,,Gasoline,27 city / 36 hwy,,,
2015 Nissan Rogue SL,"$16,452
est. $237/mo","61,335 Miles
Shakopee, MN",SL,2.5L I4 DOHC 16V,5N1AT2MV1FC903290,Automatic,AWD,Arctic Blue Metallic,Charcoal,"61,335",S42723B,Used,Suv,,,,,
2020 Kia Sorento LX V6,"$21,050
est. $303/mo","16,035 Miles
Burnsville, MN",LX V6,6 Cylinder,5XYPG4A51LG627834,Automatic,FWD,Imperial Blue,Black,,41580,Used,,Gasoline,19 city / 26 hwy,,,
2017 Nissan Rogue S,"$16,998
est. $245/mo","40,739 Miles
Minneapolis, MN",S,2.5L,JN8AT2MV2HW275895,Automatic,AWD,Black,Black,,19292250,Used,,Gasoline,25 city / 32 hwy,,,
2014 Buick LaCrosse Leather Group,"$14,640
est. $211/mo","55,969 Miles
Forest Lake, MN",Leather Group,3.6L V6 E85 Flex Fuel SIDI DOHC VVT,1G4GB5G3XEF100533,Automatic,FWD,Quicksilver Metallic,Light Neutral/Cocoa Accents,"55,969",LP15294S,Used,Sedan,,,,,
2020 Mitsubishi Eclipse Cross SE,"$24,300
est. $350/mo","10 Miles
Saint Paul, MN",SE,,JA4AS5AA7LZ011221,Automatic,FWD,Tarmac Black Metallic,BLACK,10,95326,New,Suv,,,,,
2020 Ford Fusion S,"$18,819
est. $271/mo","5 Miles
Roseville, MN",S,I-4 2.5L,3FA6P0G74LR170431,Automatic,FWD,Oxford White,Ebony,5,209024,New,Sedan,,,,,
2016 Ford C-MAX Energi SEL,"$16,998
est. $245/mo","19,028 Miles
Minneapolis, MN",SEL,2.0L,1FADP5CU6GL118965,Automatic,FWD,Silver,Gray,,18465283,Used,,Plug-in hybrid,40 city / 36 hwy,,,
2020 Mitsubishi Outlander ES,"$23,235
est. $335/mo","10 Miles
Saint Paul, MN",ES,,JA4AZ3A30LZ017279,Automatic,AWD,Labrador Black Metallic,BLACK,10,93976,New,Suv,,,,,
2016 Toyota Corolla LE,"$15,998
est. $231/mo","25,290 Miles
Minneapolis, MN",LE,1.8L,2T1BURHE9GC610626,Automatic,FWD,Red,Gray,,19257250,Used,,Gasoline,29 city / 38 hwy,,,
2020 GMC Terrain SLT,"$24,699
est. $356/mo","15,651 Miles
Burnsville, MN",SLT,4 Cylinder,3GKALVEVXLL234333,Automatic,4WD,Summit White,Jet Black,,41454,Used,,Gasoline,25 city / 28 hwy,,,
2017 Nissan Maxima 3.5 SV,"$22,998
est. $331/mo","31,558 Miles
Minneapolis, MN",3.5 SV,3.5L,1N4AA6AP1HC414906,Automatic,FWD,Silver,Black,,19388901,Used,,Gasoline,21 city / 30 hwy,,,
2020 Honda CR-V EX,"$30,280
est. $436/mo","4 Miles
Coon Rapids, MN",EX,,2HKRW2H59LH659767,,AWD,Radiant Red Metallic,Gray,4,LH659767,New,Suv,,,,,
2017 Nissan Sentra SV,"$13,599
est. $196/mo","53,022 Miles
Minneapolis, MN",SV,1.8L,3N1AB7APXHY324127,Automatic,FWD,Blue,Black,,19362709,Used,,Gasoline,29 city / 37 hwy,,,
2020 Mitsubishi Eclipse Cross SE,"$25,775
est. $372/mo","13 Miles
Saint Paul, MN",SE,,JA4AT5AA9LZ032228,Automatic,AWD,Mercury Gray Metallic,BLACK,13,95617,New,Suv,,,,,
2020 Dodge Journey SE,"$22,043
est. $318/mo","2 Miles
Forest Lake, MN",SE,2.4L I4 DOHC 16V Dual VVT,3C4PDCAB8LT202130,Automatic,FWD,Vice White,Black,2,D20050,New,Suv,,,,,
2020 Nissan Murano SV,"$26,788
est. $386/mo","7,997 Miles
Burnsville, MN",SV,6 Cylinder,5N1AZ2BS5LN133165,Automatic,AWD,Super Black Metallic,Graphite,,41585,Used,,Gasoline,20 city / 28 hwy,,,
2020 Ram Pickup 1500 Laramie,"$52,014
est. $750/mo","Mileage Unknown
Shakopee, MN",Laramie,HEMI 5.7L V8 Multi Displacement VVT eTorque,1C6SRFJT8LN363672,Automatic,4WD,Diamond Black Crystal Pearlcoat,Black,,D5409,New,Pickup_truck,,,,,
2014 Jeep Compass Latitude,"$10,872
est. $157/mo","74,035 Miles
Minnetonka, MN",Latitude,,1C4NJDEB6ED549514,Automatic,4WD,Bright White Clearcoat,Dark Slate Gray,"74,035",26941A,Used,Suv,,,,,
2014 Ford F-150 XLT,"$25,500
est. $368/mo","49,999 Miles
Shakopee, MN",XLT,5.0L V8 FFV,1FTVW1EF6EKE74943,Automatic,4WD,Ingot Silver Metallic,Steel Gray,"49,999",S11568X,Used,Pickup_truck,,,,,
2015 Ford F-150 Platinum,"$36,990
est. $533/mo","59,296 Miles
Forest Lake, MN",Platinum,EcoBoost 3.5L V6 GTDi DOHC 24V Twin Turbocharged,1FTEW1EG5FFA56585,Automatic,4WD,White,Black,"59,296",PF15809A,Used,Pickup_truck,,,,,
2012 Chevrolet Tahoe LT,"$19,850
est. $286/mo","109,110 Miles
Shakopee, MN",LT,Vortec 5.3L V8 SFI Flex Fuel Iron Block,1GNSKBE01CR270563,Automatic,4WD,Black,Ebony,"109,110",D4950A,Used,Suv,,,,,
2020 Honda CR-V EX,"$30,180
est. $435/mo","6 Miles
Coon Rapids, MN",EX,,2HKRW2H58LH638845,,AWD,Crystal Black Pearl,Gray,6,LH638845,New,Suv,,,,,
2018 BMW i3,"$25,995
est. $375/mo","8,080 Miles
Minnetonka, MN",,,WBY7Z4C57JVD96100,Automatic,RWD,Mineral Gray Metallic w/BMW i Frozen Blue Accent,Atelier European Dark,"8,080",5129,Used,Wagon,,,,,
2013 Kia Sportage EX,"$12,995
est. $187/mo","87,536 Miles
Fridley, MN",EX,2.4L 4 cyls,KNDPCCA20D7372474,Automatic,AWD,Mineral Silver,Alpine Gray w/Clean Tex Cloth Seat Trim,"87,536",13156PA,Used,Suv,,,,,
2020 Nissan Altima 2.5 SR,"$25,721
est. $371/mo","23 Miles
Minneapolis, MN",2.5 SR,2.5L 4-Cylinder DOHC 16V,1N4BL4CW6LC166071,Automatic,AWD,Pearl White Tricoat,Black Sport,23,LN21027,New,Sedan,,,,,
2019 Nissan Armada SV,"$31,998
est. $461/mo","42,868 Miles
Maplewood, MN",SV,5.6L,JN8AY2ND7K9088911,Automatic,RWD,Black,Black,,19329756,Used,,Gasoline,14 city / 19 hwy,,,
2020 Nissan Rogue SV,"$26,395
est. $380/mo","6 Miles
Minneapolis, MN",SV,2.5L I4 DOHC 16V,JN8AT2MV8LW132085,Automatic,AWD,Pearl White Tricoat,Charcoal,6,LN21099,New,Suv,,,,,
2017 Buick Encore Preferred II,"$16,998
est. $245/mo","24,053 Miles
Minneapolis, MN",Preferred II,1.4L,KL4CJBSB7HB063966,Automatic,FWD,White,Black,,19257076,Used,,Gasoline,25 city / 33 hwy,,,
2017 Ford Escape SE,"$16,999
est. $245/mo","20,888 Miles
Plymouth, MN",SE,1.5L EcoBoost,1FMCU0GD1HUD74787,Automatic,FWD,Ruby Red Metallic Tinted Clearcoat,Charcoal Black,"20,888",P17464,Used,Suv,,,,,
2019 Dodge Charger SXT,"$27,799
est. $401/mo","17,058 Miles
Plymouth, MN",SXT,3.6L V6 24V VVT,2C3CDXJG4KH611691,Automatic,AWD,Octane Red Pearlcoat,Black,"17,058",PX17391,Used,Sedan,,,,,
2020 Cadillac XT5 Premium Luxury,"$39,499
est. $569/mo","5,999 Miles
Burnsville, MN",Premium Luxury,6 Cylinder,1GYKNCRSXLZ131656,Automatic,FWD,Radiant Silver Metallic,Jet Black,,41569,Used,,Gasoline,18 city / 26 hwy,,,
2019 Mitsubishi Outlander PHEV GT,"$33,825
est. $488/mo","11 Miles
Saint Paul, MN",GT,,JA4J24A58KZ056566,Automatic,AWD,Rally Red Metallic,BLACK,11,95922,New,Suv,,,,,
2020 Ford Fusion S,"$18,819
est. $271/mo","5 Miles
Roseville, MN",S,I-4 2.5L,3FA6P0G76LR170432,Automatic,FWD,Agate Black,Ebony,5,209025,New,Sedan,,,,,
2020 Mitsubishi Eclipse Cross SE,"$24,800
est. $357/mo","10 Miles
Saint Paul, MN",SE,,JA4AS5AA5LZ015252,Automatic,FWD,Red Diamond,BLACK,10,95334,New,Suv,,,,,
2020 Mitsubishi Eclipse Cross SE,"$26,775
est. $386/mo","11 Miles
Saint Paul, MN",SE,,JA4AT5AA5LZ019332,Automatic,AWD,Tarmac Black Metallic,BLACK,11,95665,New,Suv,,,,,
2017 Ford Escape SE,"$19,000
est. $274/mo","22,668 Miles
Shakopee, MN",SE,1.5L EcoBoost,1FMCU9GD7HUC90669,Automatic,AWD,White,Medium Light Stone,"22,668",S11529X,Certified pre-owned,Suv,,,,,
2020 Mitsubishi Mirage LE,"$14,275
est. $206/mo","11 Miles
Saint Paul, MN",LE,,ML32A5HJ8LH008467,Automatic,FWD,Starlight Silver Metallic,BLACK,11,95396,New,Hatchback,,,,,
2020 Jeep Renegade Latitude,"$22,212
est. $320/mo","1 Miles
Forest Lake, MN",Latitude,2.4L I4,ZACNJBBB3LPL28716,Automatic,4WD,Alpine White Clearcoat,Black,1,J20343,New,Suv,,,,,
2017 Buick Encore Preferred II,"$26,999
est. $389/mo","3,344 Miles
Inver Grove Heights, MN",Preferred II,4 Cylinder,KL4CJBSB3HB223048,Automatic,FWD,Ebony Twilight Metallic,Ebony,"3,344",17454R,Used,Suv,,,,,
2020 Chevrolet Trax LT,"$20,375
est. $294/mo","1 Miles
Fridley, MN",LT,1.4L 4 cyls,3GNCJPSB3LL283123,Automatic,AWD,Mosaic Black Metallic,Jet Black,1,53147,New,Suv,,,,,
2018 Dodge Charger SRT 392,"$42,490
est. $612/mo","8,948 Miles
Forest Lake, MN",SRT 392,SRT HEMI 6.4L V8 MDS,2C3CDXEJXJH272729,Automatic,RWD,Pitch Black Clearcoat,Ruby Red/Black,"8,948",P15729,Used,Sedan,,,,,
2017 Chevrolet Silverado 1500 LT w/2LT,"$35,995
est. $519/mo","46,871 Miles
Fridley, MN",LT w/2LT,5.3L V8,1GCVKREC0HZ168316,Automatic,4WD,Graphite Metallic,Jet Black w/Cloth Seat Trim,"46,871",13219P,Certified pre-owned,Pickup_truck,,,,,
2013 Chevrolet Corvette 2LT,"$29,999
est. $432/mo","40,165 Miles
Saint Paul, MN",2LT,,1G1YF2DW2D5108729,Automatic,RWD,Blade Silver Metallic,Ebony,"40,165",W96123MA,Used,Coupe,,,,,
2020 Honda Odyssey LX,"$31,910
est. $460/mo","5 Miles
Coon Rapids, MN",LX,,5FNRL6H20LB065475,,FWD,Modern Steel Metallic,Gray,5,LB065475,New,Minivan,,,,,
2019 Mitsubishi Eclipse Cross SEL,"$23,999
est. $346/mo","11 Miles
Saint Paul, MN",SEL,,JA4AT5AA2KZ001353,Automatic,AWD,Red Diamond,BLACK,11,94039,New,Suv,,,,,
